NAZEV;KOD_PRACOVISTE;KOD_LEKARNY;ICZ;ICO;MESTO;ULICE;PSC;LEKARNIK_PRIJMENI;LEKARNIK_JMENO;LEKARNIK_TITUL;WWW;EMAIL;TELEFON;FAX;ERP;TYP_LEKARNY;ZASILKOVY_PRODEJ;POHOTOVOST
LÈk·rna Juli·nov;00203707000;72995325;72995370;09640401;Brno;Kr·snÈho 3866/20;63600;BÌlkov·;Eva;Mgr.;;lekarnajulianov@seznam.cz;720 940 182;;0;Z;;
LÈk·rna K L·nu;06995040000;06995130;06995040;27122433;Praha;K l·nu 503/7;16000;Matouökov·;Helena;PharmDr.;;lekarnaklanu@volny.cz;220 610 013;;1;Z;;
LÈk·rna KarlÌn;00203618672;8995680;08995098;19799811;Praha;Sokolovsk· 5/49;18600;Wittbergerov·;Kate¯ina;Mgr.;;ogaretpharm@gmail.com;725 432 134;;0;Z;;
LÈk·rna Karolinka;00214874648;94995063;94331000;05966159;Karolinka;VsetÌnsk· 71;75605;Pt·Ëkov·;Hana;PharmDr.;;lekarnakarolinka@seznam.cz;732 925 478;;0;Z;;
LÈk·rna Katovick·;00203692688;38995320;38357000;26095181;Strakonice;ObchodnÌ 1671;38601;Krenkov·;ä·rka;Mgr.;;katovicka@nemst.cz;608 160 458;;0;Z;;
LÈk·rna Kbely;00213314152;09995900;09995108;19939086;Praha;Tauferova 1041/2;19700;Trostov·;Jana;Mgr.;;lekarna.kbely@centrum.cz;733 710 848;;0;Z/OOVL;;
LÈk·rna KHN a.s.;87370000000;87995900;87370000;60793490;Karvin·;Zakladatelsk· 975/22;73506;Syrov·;Monika ;PharmDr.;http://www.khn.cz;lekarna@khn.cz;596 380 601, 596 380 602;;1;NO;;
LÈk·rna KHN v R·ji;87396000001;87995200;87396000;60793490;Karvin·;Kosmonaut˘ 842/48b;73401;Kunzov·;Jana;Mgr.;http://www.khn.cz;kunzova@khn.cz;595 390 441;;1;Z;;
LÈk·rna KlatovskÈ nemocnice;43655000000;43995410;43655000;26360527;Klatovy;PlzeÚsk· 929;33901;Kojanov·;ZdeÚka;PharmDr.;http://www.klatovy.nemocnicepk.cz;lekarna1@klatovy.nemocnicepk.cz, zdenka.kojanova@klatovy.nemocnicepk.cz;376 335 153, 777 363 019;;1;NO;;
LÈk·rna Klecany;28136000000;28995030;28136000;27175855;Klecany;U ökoly 17;25067;Szˆllˆsov·;Ludmila;Mgr.;;szollos@tiscali.cz;284 890 158;;1;Z;;
LÈk·rna KlenËÌ s.r.o.;40995516000;40995240;40995516;02387778;KlenËÌ pod »erchovem; 285;34534;Heidlerov·;Jaroslava;PharmDr.;;lekarna.klenci@atlas.cz;379 794 647, 728 119 579;;1;Z;;
LÈk·rna KnÌn;00201897883;30995540;30995048;11925612;Nov˝ KnÌn;n·mÏstÌ Ji¯Ìho z PodÏbrad 64;26203;Pokorn·;Renata;Mgr.;;;318 593 232;;0;Z;;
LÈk·rna KomenskÈho;74792000003;74995450;74792000;46960856;Mikulov;KomenskÈho 224/1;69201;Kop¯ivov·;Jana;PharmDr. ;;lekarna.komenskeho@email.cz;518 326 787;;1;Z;;
LÈk·rna KomÌn;72995318000;72995249;72995318;07122322;Brno;DÏlnick· 1222/53;62400;Sl·mov·;Helena;Mgr.;https://www.lekarnakomin.cz/;info@lekarnakomin.cz;722 100 432;;1;Z;;
LÈk·rna Konice;78538000002;78995020;78538000;26951185;Konice;Masarykovo n·m. 40;79852;Dvorsk·;Ludmila;RNDr.;;lekarna.konice@iol.cz;582 396 560;582 396 560;1;Z/OOVL;;
LÈk·rna Kop¯ivnice;88995115000;88995456;88995115;01874365;Kop¯ivnice;ätef·nikova 1612/2a;74221;Nevludov·;Vanda;Mgr.;;lekarna.koprivnice@gmail.com;777 475 177;;1;L;;
LÈk·rna Koruna;42159000000;42995160;42159000;26375290;Ostrov;StarÈ n·m. 8;36301;Szˆnyi;Petr;Mgr.;http://www.nonrx.cz;koruna@pharmacium.cz;353 613 431, 353 826 264;;1;Z;ANO;
LÈk·rna Korunka;72995283000;72995202;72995283;02889421;Brno;Veve¯Ì 365/46;60200;Novotn·;Jana;PharmDr.;www.lekarnakorunka.cz;veveri@lekarnakorunka.cz;532 268 532;;1;Z;;
LÈk·rna Korunka;71358000000;71995600;71358000;02889421;Blansko;VodnÌ 2493/5a;67801;Beranov·;Kate¯ina;PharmDr.;https://lekarnablansko.cz;blansko@lekarnakorunka.cz;516 412 323, 602 593 818;;0;Z;;
LÈk·rna KoryËany;77628000000;77995370;77628000;63482860;KoryËany;Masarykova 934;76805;Cel·;Marie;Mgr.;;lekarnakor@seznam.cz;573 332 158;;1;Z;;
LÈk·rna Krajsk· nemocnice T.Bati, a.s.;82614000000;82995130;82614000;27661989;ZlÌn;HavlÌËkovo n·b¯eûÌ 600;76001;Kurf¸rst;Pavel;PharmDr.;http://www.kntb.cz;lekarna@bnzlin.cz;- 556, -545, 577 552 585;577 552 580;1;NO;;
L…K¡RNA KR¡LŸV DVŸR;21348000000;21995340;21348000;04078136;Kr·l˘v Dv˘r;Pr˘myslov· 614;26701;Gallov·;Ivana;PharmDr.;http://www.zdravikd.cz;lekarna@zdravikd.cz;313 103 382;;1;Z;;
LÈk·rna Kras;00200340044;71995620;71361000;08226211;Jedovnice;PalackÈho 300;67906;Fr·nek;Stanislav;PharmDr.;;lek.kras@tiscali.cz;516 442 238;;1;Z;;
LÈk·rna Kr·sn· Hora nad Vltavou;00201540402;30995520;30995046;27085031;Kr·sn· Hora nad Vltavou; 28;26256;Dvo¯·kov·;Lucie;Mgr.;;marie.skalicka@onp.cz;326 551 793;;0;Z/OOVL;;
LÈk·rna Kr·sn· LÌpa;51584000000;51995170;51584000;28682785;Kr·sn· LÌpa;K¯inickÈ n·mÏstÌ 12/13;40746;Mal·;Irena;Mgr.;http://www.ilekarnaunas.cz;matuskovairena@seznam.cz;412 383 100;;1;Z;;
LÈk·rna Krava¯e s.r.o.;90540000000;90995070;90540000;26819899;Krava¯e;Opavsk· 3126/57;74721;HavlÌËkov·;VladimÌra;Mgr.;;lekarna.kravare@tiscali.cz;553 671 103;553 671 103;1;Z;;
LÈk·rna KrevnÌho centra;86362000000;86995810;86362000;26798981;Fr˝dek-MÌstek;t¯. T. G. Masaryka 495;73801;Dokoupilov·;Petra;Mgr.;http://www.krevnicentrum.cz;lekarnakc@krevnicentrum.cz;558 605 027;558 605 036;1;Z;;
LÈk·rna, KromÏ¯Ìûsk· nemocnice a.s.;77616000000;77995070;77616000;27660532;KromÏ¯Ìû;HavlÌËkova 660/69;76701;⁄lehlov·;Iva;Mgr.;http://www.nem-km.cz;lekarna@nem-km.cz;573 322 235;;1;NO;;
LÈk·rna Krupsk·;10995046002;10996060;10995046;27136019;Praha;Ke StraönickÈ 3304/5a;10000;Mach·lek;Ji¯Ì;Mgr.;http://www.lekarnakrupska.cz;lekarnakrupska@seznam.cz, info@lekarnakrupska.cz;739 463 141, 739 463 150;;1;Z;ANO;
LÈk·rna Krupsk· 28;10995090000;10996120;10995090;05483301;Praha;Krupsk· 1978/28;10000;Koubkov·;Iva;Mgr.;;info@lekarna-krupska28.cz;222 966 233;;0;Z;;
LÈk·rna Kryry;52521000001;56995340;52521000;86764446;Kryry;HlavnÌ 1;43981;Br˘hov·;Marie;Mgr.;;lekarnaisis@seznam.cz;415 216 044;;1;Z;;
L…K¡RNA KRYSTAL;76136000000;76995450;76136000;74705261;Jihlava;éiûkova 1872/89;58601;Zvol·nkov·;Jana;PharmDr.;;lekarnakrystal@seznam.cz;567 215 783;;1;Z/OOVL;;
LÈk·rna K¯enov·;00215087595;72995356;72995391;26274493;Brno;K¯enov· 524/69;60200;Pohlov·;Kate¯ina;PharmDr.;https://www.leram.cz/;krenova@leram.cz;546 410 293, 606 094 932;;0;Z;;
LÈk·rna K¯inec;27607000001;27995010;27607000;62444905;K¯inec;N·mÏstÌ 34;28933;Z·vesk·;Jana;PharmDr.;;lekarna.krinec@email.cz;325 588 220;;1;Z/OOVL;;
LÈk·rna Kunöt·t;00200340641;71995630;71359000;29373417;Kunöt·t;n·m. »S»K 477;67972;Koll·rov·;Helena;PharmDr.;;lekarnakunstat@gmail.com;516 462 139;;1;Z/OOVL;;
LÈk·rna Kyjov;00215377148;75995126;75512000;23509813;Kyjov;DobrovskÈho 1361/1a;69701;Medvedcov·;Alexandra;PharmDr.;;benukyjov@jspharma.cz;515 556 320;;0;Z;;
LÈk·rna Lada s.r.o.;71319000000;71995010;71319000;25544918;Adamov;Smetanovo n·mÏstÌ 327/4;67904;DaÚkov·;Vlasta;PharmDr.;;lekarna.d@seznam.cz;516 446 855;;1;Z;;ANO
L…K¡RNA LANéHOT;74774000000;74995340;74774000;41531612;Lanûhot;Kostick· 598/30;69151;Rehortov·;Lenka;Mgr.;;lekarna.lanzhot@email.cz;732347471;;1;Z;;
LÈk·rna LÈka¯sk˝ d˘m;07995022000;07995100;07995022;64948773;Praha;JanovskÈho 993/48;17000;VelËevov·;Iva;PharmDr.;http://www.ld.cz/lekarna/;lekarna@ld.cz;242 426 413;;1;Z;;
LÈk·rna Lemon;00215013301;72995347;72995294;06084567;Brno;Mendlovo n·mÏstÌ 149/16;60300;PospÌöilov·;Hana;Mgr.;https://www.lekarnalemon.cz/;brno.mendlovo@lekarnalemon.cz;734 754 812;;0;Z;;
LÈk·rna Lemon;00215013285;58995740;58369000;06084567;Krupka;RevoluËnÌ 460;41742;KratÏnov·;Tereza;Mgr. ;http://www.lekarnalemon.cz;krupka.revolucni@lekarnalemon.cz;724 902 704;;1;Z;;
LÈk·rna Lemon;00215013317;58995730;58367000;06084567;Osek;n·mÏstÌ Kl·öternÌ 91;41705;Bobkov·;Romana;PharmDr.;http://www.lekarnalemon.cz;osek.klasterni@lekarnalemon.cz;601 343 871;;1;Z;;
LÈk·rna Lemon;00215013325;72995349;72995267;06084567;Brno;»esk· 156/6;60200;Burianov·;Eva;Mgr.;https://www.lekarnalemon.cz/;brno.ceska@lekarnalemon.cz;730 510 593;;0;Z;;
LÈk·rna Lemon;00215015535;72995352;72995242;06084567;Brno;OrlÌ 708/34;60200;MarkoviËov·;Zuzana;PharmDr.;https://www.lekarnalemon.cz/;brno.orli@lekarnalemon.cz;734 754 811;;0;Z;;
LÈk·rna Lemon;00215013309;58995720;58332000;06084567;Teplice;Duchcovsk· 304/10;41501;Voloöinov·;Ivana;Mgr. ;http://www.lekarnalemon.cz;teplice.duchcovska@lekarnalemon.cz;725 857 269;;1;Z;;
LÈk·rna Lemon;00215013271;58995710;58368000;06084567;Teplice;Novosedlick· 394/8;41501;Drahoö;Ivan;Mgr. ;http://www.lekarnalemon.cz;teplice.novosedlicka@lekarnalemon.cz;702079242;;1;Z;;
LÈk·rna Lemon;00215015511;73995139;73666000;06084567;Tiönov;n·m. KomenskÈho 123;66601;Sedl·Ëkov·;Sylva;PharmDr.;https://www.lekarnalemon.cz/;tisnov.komenskeho@lekarnalemon.cz;730 510 584;;0;L;;
LÈk·rna Lemon;00201954125;84994440;84382000;06084567;VelkÈ Mezi¯ÌËÌ;Po¯ÌËÌ 1256/11;59401;Chadimov·;Lenka;Mgr.;https://www.lekarnalemon.cz/;velkemezirici.porici@lekarnalemon.cz;566 524 098, 777 311 515;;0;Z;;
LÈk·rna Lemon;00215023280;59995740;58929000;06084567;⁄stÌ nad Labem;Masarykova 3127/28;40001;P¯ibÌkov·;Dagmar;Mgr.;http://www.lekarnalemon.cz;ustinadlabem.masarykova@lekarnalemon.cz;725 509 112;;0;Z;;
LÈk·rna Lemon;00215015527;72995354;72995205;06084567;Brno;Hlinky 48/122;60300;Nov·kov·;Petra;Mgr.;https://www.lekarnalemon.cz/;brno.hlinky@lekarnalemon.cz;734 754 808;;0;Z;;
LÈk·rna Lemon;00215023288;59995730;59808000;06084567;⁄stÌ nad Labem;V Jirch·¯Ìch 62/2;40001;Stoklasov·;MarkÈta;PharmDr.;http://www.lekarnalemon.cz;ustinadlabem.vjircharich@lekarnalemon.cz;602 135 291;;0;Z;;
LÈk·rna Lemon;00215013261;87995167;87354000;06084567;»esk˝ TÏöÌn;KomornÌ 564/1;73701;HoÚkov·;Lidie;Mgr.;www.lekarnalemon.cz;ceskytesin.komorni@lekarnalemon.cz;558 711 631;;0;Z;;
LÈk·rna Lemon;00215013293;81995052;81720000;06084567;Vyökov;N·draûnÌ 2/1;68201;Tannertov·;Lada;Mgr.;https://www.lekarnalemon.cz/;vyskov.nadrazni@lekarnalemon.cz;734 754 810;;0;Z;;
LÈk·rna Lemon;00215013336;72995348;72995266;06084567;Brno;Obl· 518/75a;63400;Michalides;Mari·n;Mgr. ;https://www.lekarnalemon.cz/;brno.obla@lekarnalemon.cz;734 406 743;;0;Z;ANO;
LÈk·rna Lemon;00215013251;86995912;86366000;06084567;Fr˝dlant nad OstravicÌ;HlavnÌ 79;73911;KaÚokov·;Martina;Mgr.;lekarnalemon.cz;frydlant.hlavni@lekarnalemon.cz;558 431 631;;0;Z;;
LÈk·rna Lemon;00215015519;72995351;72995343;06084567;Brno;PalackÈho t¯Ìda 2522/137;61200;ätefanoviË;Barbora;Mgr.;https://www.lekarnalemon.cz/;brno.palackeho@lekarnalemon.cz;731 654 833;;0;Z;;
LÈk·rna Lemon;00215013243;94995065;94344000;06084567;ValaöskÈ Mezi¯ÌËÌ;Pol·ökova 177/21;75701;Tvrd·;Magdalena;Mgr.;www.lekarnalemon.cz;valasskemezirici.polaskova@lekarnalemon.cz;724 645 848;;0;Z;;
LÈk·rna Lemon;00214579466;25995603;25995321;06084567;Neratovice;n·m. Republiky 996;27711;Havlov·;Viera;RNDr.;"http://www.lekarnalemon.cz	";neratovice.republiky@lekarnalemon.cz;606754399;;0;Z;;
LÈk·rna Lemon;00214430334;01995950;01995118;06084567;Praha;Na Po¯ÌËÌ 1068/23;11000;Berkov·;Simona;Mgr.;http://www.lekarnalemon.cz;praha.naporici@lekarnalemon.cz;725511048;;0;Z;;
LÈk·rna Lemon;00215015543;72995353;72995220;06084567;Brno;Slov·kova 279/11;60200;BartoÚkov·;Jana;Mgr.;https://www.lekarnalemon.cz/;brno.slovakova@lekarnalemon.cz;734 754 805;;0;Z;;
LÈk·rna LEMON;00201443776;82995910;82619000;06084567;Sluöovice;VÌtÏzstvÌ 101;76315;Mikl·öov·;Irma;PharmDr.;http://www.lekarnalemon.cz;slusovice.vitezstvi@lekarnalemon.cz;577983114;;0;Z;;
LÈk·rna LEMON;00201025858;92995630;92609000;06084567;Hranice;N·mÏstÌ 8. kvÏtna 367;75301;Ocelkov·;Leona;Mgr.;http://www.lekarnalemon.cz;hranice.namesti@lekarnalemon.cz;602533976;;0;Z;;
LÈk·rna LEMON;00201025839;89996060;89288000;06084567;äternberk;JÌvavsk· 1330/16;78501;Sorbiov·;Tereza;Mgr. ;http://www.lekarnalemon.cz;Sternberk.jivavska@lekarnalemon.cz;739006222;;0;Z;;
LÈk·rna LEMON;00214983897;32995123;32995009;06084567;»eskÈ BudÏjovice;Suchomelsk· 2251;37004;Briezstiensk·;ä·rka;Mgr.;www.lekarnalemon.cz;budejovice.suchomelska@lekarnalemon.cz;725 315 026;;0;Z;;
LÈk·rna LEMON;00215044659;64995670;64631000;06084567;JaromÏ¯;Dr. Ed. Beneöe 960;55101;Klikov·;Magda;Mgr.;http://www.lekarnalemon.cz;jaromer.benese@lekarnalemon.cz;491 814 376;;1;Z;;
LÈk·rna LEMON;00215446968;89996220;89102180;06084567;Olomouc;HornÌ l·n 1196/9;77900;Fukan;Luk·ö;Mgr.;;olomouc.hornilan@lekarnalemon.cz;603 375 996;;0;Z;;
LÈk·rna LEMON;00201025582;90995468;90568000;06084567;Opava;Olomouck· 2844/115;74601;ätÏp·nkov·;Lucie;Mgr.;http://www.lekarny-lemon.cz;opava.olomoucka@lekarnalemon.cz;553652506;;0;Z;;
LÈk·rna LEMON;00201025616;87995151;87337000;06084567;HavÌ¯ov;Dlouh· t¯Ìda 1228/44c;73601;Rusnokov·;Jana;PharmDr.;http://www.lekarnalemon.cz;havirov.podlesi@lekarnalemon.cz;601530345;;0;Z;;
LÈk·rna LEMON;00201025595;88995471;88995106;06084567;StudÈnka;Butovick· 365;74213;KuËe¯Ìkov·;Jana;Mgr.;http://www.lekarny-lemon.cz;studenka.butovicka@lekarnalemon.cz;777 100 491;;0;Z;;
LÈk·rna LEMON;00201614064;01995900;01995084;45806691;Praha;VodiËkova 715/23;11000;Chur·Ëek;Karel;Mgr.;https://www.lekarnalemon.cz/;praha.vodickova@lekarnalemon.cz;777264621;;0;Z;;
LÈk·rna LEMON;00202133509;05995270;05995126;06084567;Praha;Krökova 807/21;15200;ävejdov·;Hana;PharmDr.;http://www.lekarnalemon.cz;praha.barrandov@lekarnalemon.cz;778 546 603;;0;Z;;
LÈk·rna LEMON;00202817012;82995960;82688000;06084567;ZlÌn;n·mÏstÌ Pr·ce 2523;76001;PospÌöilov·;Renata;PharmDr.;www.lekarnalemon.cz;zlin.namestiprace@lekarnalemon.cz, vedouci.zlinnamestiprace@lekarnalemon.cz;727923452;;0;Z;;
LÈk·rna LEMON;00203413118;95995114;95995027;06084567;JavornÌk;MÌru 397;79070;Mr·zkov·;Milada;Mgr.;www.lekarnalemon.cz;javornik.miru@lekarnalemon.cz;584 440 305;;0;Z/OOVL;;
LÈk·rna LEMON;00203546287;80995750;80462000;06084567;Uhersk˝ Brod;Masarykovo n·m. 135;68801;Patkov·;Veronika;Mgr.;www.lekarnalemon.cz;Uherskybrod.namesti@lekarnalemon.cz;727 923 450;;0;Z;;
LÈk·rna LEMON;00203557794;4995006;04995102;06084567;Praha;HlavnÌ 2459/108;14100;KoÚarËÌkov·;Jaroslava;PharmDr.;http://www.lekarnalemon.cz;praha.hlavni@lekarnalemon.cz;727923448;;0;Z;;
LÈk·rna LEMON;00203557834;04995008;04995158;06084567;Praha;K Libuöi 57/30;14800;Junkov·;Veronika;PharmDr.;http://www.lekarnalemon.cz;praha.klibusi@lekarnalemon.cz;725511313;;0;Z;;
LÈk·rna LEMON;00203557692;70995610;70604000;06084567;VysokÈ M˝to;B¯Ì äkorpil˘ 19;56601;Karansk·;Hana ;Mgr.;http://www.lekarnalemon.cz ;vysokemyto.namesti@lekarnalemon.cz;723 453 864    ;;1;Z;;
LÈk·rna LEMON;00203557709;70995600;70626000;06084567;ChoceÚ;Z·mÏstÌ 215;56501;P·vkov·;Jana ;Mgr.;;chocen.zamesti@lekarnalemon.cz;725 125 352;;1;Z;;
LÈk·rna LEMON;00203113657;87995156;87319100;06084567;Karvin·;éiûkova 2379/54a;73301;Murinov·;Taù·na;PharmDr.;lekarnalemon.cz;karvina.zizkova@lekarnalemon.cz;777 311 514;;0;Z;;
LÈk·rna LEMON;00202091965;04995350;04995164;06084567;Praha;éeletavsk· 1447/5;14000;Fialov·;Jitka;Mgr.;http://www.lekarnalemon.cz;jitka.fialova@gmail.com;770117303;;0;Z;;
LÈk·rna LEMON;00202168138;28995740;28995011;06084567;»estlice;ObchodnÌ 329;25101;Beranov·;Martina ;Mgr. ;http://www.lekarnalemon.cz;cestlice.obchodni@lekarnalemon.cz;602 394 597;;0;Z;;
LÈk·rna LEMON;00201000596;90995466;90746000;27609057;Opava;HlavnÌ 1040/120;74706;Hoffmannov·;Hana ;Mgr.;http://www.lekarny-lemon.cz;opava.hlavni@lekarnalemon.cz;725249808;;0;Z;;
LÈk·rna LEMON;00213223234;01995011;01995115;06084567;Praha;N·rodnÌ 63/26;11000;H¸bl;MojmÌr;Mgr. ;http://www.lekarnalemon.cz;praha.narodni@lekarnalemon.cz;725 116 210;;0;Z;;
LÈk·rna LEMON;00210512470;27995650;27995010;06084567;Milovice;SpojovacÌ 873;28924;Las·kov·;Daniela  ;PharmDr.;https://www.lekarnalemon.cz;milovice.spojovaci@lekarnalemon.cz;607 002 083;;1;L;;
LÈk·rna LEMON;00212580560;44995104;44063500;06084567;PlzeÚ;Slovansk· 244/27;32600;Bureöov·;Helena;Mgr.;http://www.lekarnalemon.cz;vedouci.plzenslovanska@lekarnalemon.cz;602591976;;0;Z;;
LÈk·rna LEMON;00214370570;77995550;77642000;06084567;KromÏ¯Ìû;Kotojedsk· 546/17b;76701;KamenÌkov·;MarkÈta;Mgr.;www.lekarnalemon.cz;kromeriz.kotojedska@lekarnalemon.cz;724 365 200;;0;Z;;
LÈk·rna LEMON;00213933645;26995520;26995107;06084567;BÏl· pod BezdÏzem;M·chova 499;29421;ämejkalov·;Jana ;Mgr.  ;https://www.lekarnalemon.cz;belapodbezdezem@lekarnalemon.cz;725 510 961, 315 624 557;;1;Z;;
LÈk·rna LEMON;00214127367;80995780;80431000;06084567;DolnÌ NÏmËÌ;äkolnÌ 606;68762;Vos·tkov·;Helena;PharmDr. ;www.lekarnalemon.cz;dolninemci@lekarnalemon.cz;724 370 323;;0;Z;;
LÈk·rna LEMON;00203554276;91995195;91995330;06084567;Ostrava;Sokolsk· t¯Ìda 1925/49;70200;Vaö·tkov·;Jolanta;Mgr.;www.lekarnalemon.cz;ostrava.sokolska@lekarnalemon.cz;597 349 203, 777 753 091;;0;Z;;
LÈk·rna LEMON;00203554261;85995383;85065000;06084567;Krnov;n·m. Hrdin˘ 927/8;79401;Fuchsov·;Zuzana;Mgr.;www.lekarnalemon.cz;krnov.poliklinika@lekarnalemon.cz;724 077 062;;0;Z;;
LÈk·rna LEMON;00201070052;91995181;91995108;06084567;Ostrava;ZdeÚka Chalabaly 3041/2;70030;Davidov·;Krist˝na ;Mgr.;http://www.lekarny-lemon.cz;ostrava.belskyles@lekarnalemon.cz;724 364 061;;0;Z;;
LÈk·rna LEMON;00200845168;90995465;90743200;06084567;Ludge¯ovice;Markvartovick· 1200/59;74714;Bergrov·;Radka;PharmDr.;http://www.lekarny-lemon.cz;ludgerovice.markvartovicka@lekarnalemon.cz;722 925 284;;0;Z;;
LÈk·rna LEMON;00212751047;04995012;04995180;06084567;Praha;SofijskÈ n·mÏstÌ 3405/2;14300;Mr·zek;David;Mgr.;http://www.lekarnalemon.cz;vedouci.prahasofijskenamesti@lekarnalemon.cz;602 452 066;;0;Z;;
LÈk·rna LEMON;00213623026;68995480;68657000;06084567;Moravsk· T¯ebov·;n·m. T. G. Masaryka 33/27;57101;ävandov·;Kate¯ina;Mgr. ;;moravskatrebova.namesti@lekarnalemon.cz;606 777 094;;0;Z;;
LÈk·rna LEMON;00213973579;61995020;61883000;06084567;Hradec Kr·lovÈ;n·mÏstÌ 28. ¯Ìjna 1610/1;50002;Jandorov·;Eva;Mgr.;https://www.lekarnalemon.cz;hradeckralove.dukelska@lekarnalemon.cz;725 454 139;;1;Z;;
LÈk·rna LEMON;00213277938;10995330;10995102;06084567;Praha;éitomÌrsk· 397/16;10100;Vor·Ëkov·;Iva;Mgr.;http://www.lekarnalemon.cz;praha.zitomirska@lekarnalemon.cz;602 283 774;;0;Z;;
LÈk·rna LEMON;00213759395;94995062;94365000;06084567;VsetÌn;Gener·la Klap·lka 300;75501;äabröulov·;Jana;Mgr.;www.lekarnalemon.cz;vsetin.klapalka@lekarnalemon.cz;725 178 355;;0;Z;;
LÈk·rna LEMON;00203546330;82995980;82620000;06084567;ZlÌn;ZahradnÌ 973;76302;äprencl;Bohdan;Mgr.;www.lekarnalemon.cz;Zlin.malenovice@lekarnalemon.cz;727 922 611;;0;Z;;
LÈk·rna LEMON;00210512462;54995860;54827000;06084567;Liberec;Moskevsk· 33/29;46001;Zelenka;Milan  ;PharmDr.;https://www. lekarnalemon.cz;liberec.moskevska@lekarnalemon.cz;703 697 450;;1;Z;;
LÈk·rna LEMON;00201025500;90995467;90058000;06084567;VÌtkov;n·mÏstÌ Jana ZajÌce 6;74901;Kolovratov·;Irena;Mgr.;http://www.lekarny-lemon.cz;vitkov.namesti@lekarnalemon.cz;773914690;;0;Z;;
LÈk·rna LEMON;00201025633;85995378;85074000;06084567;Krnov;n·m. Minorit˘ 86/7;79401;LiËkov·;Krist˝na;PharmDr.;http://www.lekarnylemon.cz;krnov.namesti@lekarnalemon.cz;771 278 303;;0;Z;;
LÈk·rna LEMON;00201025014;29995840;29995033;06084567;»ernoöice;T·borsk· 2025;25228;Princov·;Tatiana;Mgr.;http://www.lekarnalemon.cz;cernosice.taborska@lekarnalemon.cz;251 552 016;;0;Z/OOVL;;
LÈk·rna LEMON;00203555018;35995400;35605000;06084567;Pelh¯imov;PalackÈho 70;39301;Hrub·;Jitka;PharmDr.;www.lekarnalemon.cz;pelhrimov.palackeho@lekarnalemon.cz;702 008 405;;0;Z;;
LÈk·rna LEMON;00212939624;82996000;82691000;06084567;ZlÌn;P¯Ìm· 671;76001;P·ûe;Marek;PharmDr.;www.lekarnalemon.cz;zlin.prima@lekarnalemon.cz;725 314 821;;0;Z;;
LÈk·rna LetÚany;09995067000;09995330;09995067;27376401;Praha;BechyÚsk· 63;19900;VÌtov·;Dagmar;PharmDr.;http://www.jh-lekarny.cz/letnany/;letnany@jh-lekarny.cz, eshop@jh-lekarny.cz;283920093, 733182891;;1;L;ANO;
LÈk·rna Levandule;73668000000;73995106;73668000;02359260;Zb˝öov;9. kvÏtna 9;66411;Psotov·;Hana;Mgr.;;lekarnalevandule@seznam.cz;546 431 504;;1;Z;;
LÈk·rna Lidick·;20842000000;20995320;20842000;70794596;Vlaöim;Lidick· 930;25801;Vallov·;Iva;Mgr.;http://www.lekarnavlasim.cz;lidicka@lekarnavlasim.cz;317 842 382;;1;Z;;
L…K¡RNA LOBE»EK;25995213001;25995460;25995213;24709468;Kralupy nad Vltavou;Dr. E. Beneöe 827;27801;éiûkov·;Stanislava;Mgr.;http://www.lekarnalobecek.cz;info@lekarnalobecek.cz;315 741 642;;0;Z;;
LÈk·rna Lotos;00214180198;07995580;07995053;27101924;Praha;V h·ji 1633/12;17000;Petrov·;Ivona;PharmDr.;;lekarna.lotos@seznam.cz;733658537;;0;Z;;
LÈk·rna Lovoö;55464000001;55995370;55464000;62769871;Lovosice;TerezÌnsk· 488/73;41002;Forg·Ëov·;Zlatuöe;Mgr.;;lek.lovos@seznam.cz;416 532 984;;1;Z;;
LÈk·rna LUKA;05995085000;05995360;05995085;24825018;Praha;Muka¯ovskÈho 1985/5;15500;Denemarkov·;Renata;Mgr.;https://www.lukapharm.cz/;info@lukapharm.cz;235 310 389;;1;Z;;
LÈk·rna LUNA;44373000001;44995220;44373000;26395568;PlzeÚ;Skupova 490/24;30100;éenÌökov·;Tereza;PharmDr. ;http://www.plzenskalekarna.cz;luna@intec.cz;377 422 774;;1;Z;;
LÈk·rna LUNAKROM MORAVIA s.r.o.;77631000001;77995090;77631000;28348893;KromÏ¯Ìû;n·mÏstÌ MÌru 3760/11;76701;Kotlaba;David;Mgr.;;lekarna.km@cmail.cz;573 338 608;;1;Z/OOVL;;
LÈk·rna Lysice;71351000000;71995130;71351000;29373417;Lysice;KomenskÈho 597;67971;Sehnalov·;Irena;PharmDr.;;lekarnalysice@gmail.com;516 472 420;;1;Z;;
L…K¡RNA L›SKOVA;00201076475;72995283;72995336;49967061;Brno;L˝skova 1031/2;63500;HavlÌËkov·;Helena;PharmDr.;;lekarnalyskova@seznam.cz;606 049 251;;0;Z;;
LÈk·rna Mafarmia;00201816387;82995930;82604000;10930591;Napajedla;Sadov· 1042;76361;MartinkoviËov·;Marcela;PharmDr.;http://lekarnanapajedla.cz;lekarna.napajedla@mafarmia.cz, lekarna.napajedla@tiscali.cz;603856460;;0;Z;;
LÈk·rna Magistr Tom;00203660494;72995318;72995367;19628072;Brno;FryËajova 77/18;61400;Urban;Ji¯Ì;PharmDr.;;lekarnabrno@magistrtom.cz;545 210 707, 725 520 026;;0;Z;;
